Year,Country,Sector,Forecasted_Inflation_Rate
2025,India,Food,2.318155842966851
2026,India,Food,3.2412594625848428
2027,India,Food,2.5764982372233405
2025,India,Energy,2.7643109915803366
2026,India,Energy,2.847501438583644
2027,India,Energy,2.805732521389806
2025,India,Transport,3.9136222776061618
2026,India,Transport,3.950126212514873
2027,India,Transport,3.9375997433084162
2025,India,Healthcare,3.608670273371132
2026,India,Healthcare,3.6098675292607694
2027,India,Healthcare,3.609800326258583
2025,India,Education,4.118330615914199
2026,India,Education,4.105617638524647
2027,India,Education,4.102489677993147
2025,Germany,Food,2.7003037592457106
2026,Germany,Food,2.741801841645648
2027,Germany,Food,2.7302979399164213
2025,Germany,Energy,2.075932846673984
2026,Germany,Energy,2.6015621044445556
2027,Germany,Energy,2.2579513556637023
2025,Germany,Transport,3.677523415597584
2026,Germany,Transport,3.6977185124260177
2027,Germany,Transport,3.6937386575324522
2025,Germany,Healthcare,4.186384001833163
2026,Germany,Healthcare,4.479974797181808
2027,Germany,Healthcare,4.350087098043217
2025,Germany,Education,2.2449424003600753
2026,Germany,Education,2.419486718472903
2027,Germany,Education,2.3442734179137865
2025,Denmark,Food,2.85139682053211
2026,Denmark,Food,2.851385343428587
2027,Denmark,Food,2.8513854377312566
2025,Denmark,Energy,2.3275643563058916
2026,Denmark,Energy,2.387763279986408
2027,Denmark,Energy,2.355532305063973
2025,Denmark,Transport,2.325361822050316
2026,Denmark,Transport,2.116563438758326
2027,Denmark,Transport,2.2693405851618196
2025,Denmark,Healthcare,2.66943734293437
2026,Denmark,Healthcare,2.735001217626821
2027,Denmark,Healthcare,2.7020773957523425
2025,Denmark,Education,3.621513542434951
2026,Denmark,Education,3.6459468689957246
2027,Denmark,Education,3.6357395924452267
